Sample_File,Success,Computation_Time,Original_Peak_Count,Denoised_Peak_Count,Filtering_Ratio,SNR_Improvement,Dynamic_Range,Signal_Quality,Predicted_NoC,NoC_Confidence,MCMC_Success,MCMC_Acceptance_Rate,MCMC_Converged,Mx_1_Mean,Mx_1_CI_Width,Mx_2_Mean,Mx_2_CI_Width,Mx_3_Mean,Mx_3_CI_Width
A02_RD14-0003-40_41-1;4-M3S30-0.075IP-Q4.0_001.5sec.fsa,True,18.02440571784973,13,8,0.38461538461538464,1.0745928770025155,3.027027027027027,0.6662085795736756,2,1.0,True,0.94655,False,0.8956555914638172,0.46217801336368325,0.10434440853618276,0.46217801336368336,,
B02_RD14-0003-42_43-1;9-M1S10-0.75IP-Q1.2_002.5sec.fsa,True,55.67270517349243,50,30,0.4,0.4471347182638767,16.770491803278688,0.2704424455818303,2,1.0,True,0.5613,True,0.6076975349398714,0.15145031991502222,0.3923024650601286,0.15145031991502222,,
F03_RD14-0003-49_50_29-1;4;1-M3S30-0.09IP-Q2.9_002.5sec.fsa,True,18.698402881622314,10,8,0.2,0.9784647661359989,2.71875,0.7016299990775148,3,1.0,True,0.8213,False,0.6462967762072662,0.4778673745748309,0.026929840685182168,0.25256490645832985,0.32677338310755155,0.5157890960916635
