NOC,Predicted Gold Min,Predicted Gold Max,Predicted Total Min,Predicted Total Max
AUS,11.675232887713644,14.358602705251602,38.076933850670905,40.65421880855673
AUT,0.0,2.2201991904782035,3.0492562024122485,5.408939374227186
DEN,0.43177688638318323,3.5232500803382,6.373729732068915,9.329744928939633
FRA,12.811739380599212,15.82267666559886,44.69893300350124,47.60620516743202
GBR,4.892846154428899,9.968891565465807,19.351267534691864,24.308721618987
GER,12.242247553477787,15.654976276937616,40.15706711913529,43.44209030872227
GRE,0.31155729419877587,2.6860815978060684,5.474161165097668,7.742440256598018
HUN,4.843470813866083,7.721128124939987,16.77773818713186,19.529957498104892
SUI,0.30685305639685434,2.6937937534964123,5.594832073853184,7.874697252082176
USA,37.26984899373993,41.7378625440833,105.90566149920149,110.25692651249405
BEL,1.477634992931285,3.675766078577981,7.29735656352068,9.400756369665864
BOH,0.0,1.9738063998642728,0.15354004037979907,3.2665096622369467
CAN,6.948858782200741,9.533210723058751,24.40975675931074,26.883717067993558
CUB,1.0352570187264731,3.7792011867490496,6.796375449939639,9.4181783010985
ESP,3.6452039642035383,6.277415789834139,14.330636105680552,16.848365401157952
IND,0.0,1.9420128142167576,3.876676495826442,6.084734950513563
ITA,9.780761146853845,12.206920295571937,33.572432805049054,35.905499787826734
LUX,0.0,1.7814664184587485,-0.09028254965811477,2.7208661194757604
NED,8.645832354198067,11.339502815414555,25.64970745277285,28.22805096939433
NOR,1.3688937613759506,3.793751816499711,5.816128049953496,8.129094132550314
SWE,2.0253329200147583,4.612127468371793,9.41168490320212,11.884925674064815
ANZ,1.2934106716953588,3.856268222951191,7.8854102796459475,10.333613631342049
FIN,0.0,1.559159524454291,-0.24319639322114628,2.300120137509091
RSA,0.0,2.603880152020584,3.803548493456339,6.500375617594211
BRA,3.2209308141177577,6.005395361378543,15.221455271273904,17.881318455588946
EST,0.0,1.4587208995163614,-0.14693921828343237,2.177820920516081
JPN,11.742840898792739,14.725150919640996,38.93670433897029,41.80118457885595
NZL,3.808136984818187,6.616666583598681,15.433724068452047,18.117688520587624
TCH,1.4383972200034678,4.0012583808547655,6.554673010656557,9.00196226857467
ARG,0.0,2.389151767506398,1.3377731012472436,4.365955788253828
HAI,0.0,1.5816403421461773,0.7172584925588852,2.841099847513159
POL,0.8134887081188442,3.352335342570397,7.632303370448938,10.059134334725073
POR,0.0,2.244568179543973,2.3728030455371063,4.715943788266435
ROU,1.6244829435359005,4.173747129492859,6.780354219683238,9.215499549563328
URU,0.0,1.4268755772677921,-0.17988330467666858,2.2685017387178297
YUG,0.898860984298258,4.078760897200789,7.849699635053167,10.892793336113446
CHI,0.0,1.9254884814719957,0.6544247373167886,3.3770938052435877
EGY,0.0,2.3162310026812514,1.3666448779342553,4.214687492689034
IRL,0.5454432957846651,2.8188087637253068,4.64711253883924,6.82736191695118
PHI,0.02489097999027634,2.256767383677759,2.4912630252290366,4.63968737714627
LAT,0.0,1.802895961910468,0.9026318472773469,3.196400591712288
MEX,0.0,1.945310201395416,3.05027500478809,5.5202042678307555
TUR,0.17172343072521623,2.7338411057711154,5.318509256749307,7.764422217421155
IRI,1.769176733001667,4.276831424159304,8.516834420719112,10.912558263954663
JAM,0.0,2.814306775728501,3.410125892577107,6.551998343247161
KOR,8.278279174085293,11.021017724785674,25.45449285548228,28.07952432229783
PAN,0.0,1.3325463843064154,-0.15222025971279396,2.149470573591179
PER,0.0,1.4372852353926324,-0.29962104382378296,2.276516689123159
PUR,0.0,1.7374698195186564,0.8575222139068972,3.3260782362724246
TTO,0.0,1.9886053760200157,-0.6771366002168986,2.727959185417278
BUL,0.982529516908325,3.6394236521741017,4.885697791428242,7.420885734107144
LIB,0.0,1.9474408901861384,-0.7021604352967168,2.547705256455248
URS,28.484579142316687,33.994718715128535,73.95823519767055,79.42187841731419
VEN,0.0,1.779361140756642,1.657489862421365,4.113619335209274
BAH,0.0,1.8464409606456944,0.8971931394700019,3.3271248687119868
ISL,0.0,1.1640191618216835,0.013297008333433502,2.0022602449861355
PAK,0.0,1.3498277492681592,-0.11342223115517935,2.109900095981495
ETH,0.0,2.360531758443397,2.2742767325499282,5.079495377727309
GHA,0.0,1.1390247336003763,0.02477107074673257,1.985591170276506
IRQ,0.0,1.2984838852741605,0.030480867314807703,1.9604311558235272
MAR,0.0,1.8199224062662738,0.7736957816342134,3.291623050595815
SGP,0.0,1.632888623844714,-0.5020537930532404,2.468738122162774
KEN,1.9487316679137714,4.895639539424751,8.385355199301692,11.203857004350606
NGR,0.0,1.9000668884271477,-0.5225064238728974,2.6319964848187025
TUN,0.0,2.1736071295698935,1.6020681299075614,4.098503139085005
CMR,0.0,1.4079124984383444,-0.12655083582428572,2.116232887912046
FRG,15.312263404770201,18.98366542197729,50.95860719470784,54.50053012504655
GDR,36.02692168385098,40.59482056622095,101.21248602985408,105.68153823580947
MGL,0.0,1.396921245164537,-0.18468460438656864,2.1957598230908135
UGA,0.0,1.7023614208677347,0.9480935585105164,3.245753916245522
COL,0.0,2.0118738297120347,1.9084009608036305,4.949186940110055
NIG,0.0,1.5054503782526674,-0.17405723787417382,2.177009122474926
PRK,0.0,2.2036644942286565,3.9126784736761184,6.382691997375058
BER,0.0,1.4415267205549411,-0.22008176348019992,2.1976865326978334
THA,0.0,2.3885685184565384,4.086619304146623,6.461852719706631
GUY,0.0,2.0512791372773953,-0.7893688369370824,2.622913195833752
TAN,0.0,1.2563917684430064,0.023336069141657534,2.165109833530839
ZIM,0.0,2.262684645308936,2.8424342056083556,5.204959230508894
